,report_id,species_name,date_report,location,site,no_observation,mode_observation,threats,remarks,name_observers,coordinates_lat,coordinates_lng
0,1,Raflesia speciosa (Panay Rafflesia),2016-01-04,"Sibalom, Antique",Brgy. Imparayan,15,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.78731,122.104682
1,2,Aceros waldeni (Visayan Writhed Hornbill),2016-01-11,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",7,Seen,Loss of Habitat,Seen at BMS site,IP leaders,10.802552,122.143548
2,3,Aceros waldeni (Visayan Writhed Hornbill),2016-01-12,"Madalag, Aklan",Brgy. Maria Cristina,10,Heard & Seen,Loss of Habitat,Seen at the forest edges,Cenro Staff,11.527735,122.222124
3,4,Aceros waldeni (Visayan Writhed Hornbill),2016-01-18,"Ibajay, Aklan",Brgy. Capataga,17,Heard & Seen,Loss of Habitat,Seen at BMS site,IP leaders,11.810623,122.170098
4,5,Sus cebifrons (Visayan Warty Pig),2016-01-25,"Malinao, Aklan",Brgy. Aparicio,13,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.616397,122.222456
5,6,Aceros waldeni (Visayan Writhed Hornbill),2016-01-12,"Lambunao, Iloilo",Brgy. Jayubo,12,Heard & Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.100154,122.419851
6,7,Rusa alfredi (Visayan Spotted Deer),2016-01-18,"Lambunao, Iloilo",Brgy. Cabatangan,21,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.089169,122.358373
7,8,Sus cebifrons (Visayan Warty Pig),2016-01-25,"Lambunao, Iloilo",Brgy. Jayubo,12,Heard & Seen,Loss of Habitat,Seen in the forested area,Bantay Gubat,11.101635,122.409653
8,9,Raflesia speciosa (Panay Rafflesia),2016-02-01,"Sibalom, Antique","Sitio Igculibao, Brgy.  Cabladan",12,Seen,Loss of Habitat,Seen at BMS site,Bantay Gubat,10.803071,122.143549
9,10,Aceros waldeni (Visayan Writhed Hornbill),2016-02-15,"Sibalom, Antique",Brgy. Imparayan,12,Seen,Hunting,Seen at the tree tops,Cenro Staff,10.794476,122.111122
10,11,Aceros waldeni (Visayan Writhed Hornbill),2016-02-09,"Madalag, Aklan",Maria Cristina,15,Heard & Seen,Loss of Habitat,Seen at the tree tops,Cenro Staff,11.516634,122.22449
11,12,Rusa alfredi (Visayan Spotted Deer),2016-02-15,"Ibajay, Aklan",Capataga,19,Heard & Seen,Hunting,Seen at BMS site,IP leaders,11.809069,122.170226
12,13,Sus cebifrons (Visayan Warty Pig),2016-02-22,"Malinao, Aklan",Aparicio,13,Heard & Seen,Loss of Habitat,Seen in the area of Aparicio,Bantay Gubat,11.623459,122.201843
