,population_id,park_name,pop_name,pop_date,population_no,park_add
0,1,MCP,Aceros waldeni (Visayan Writhed Hornbill),2016-01-04,16,"Jayubo, Lambunao, Iloilo"
1,2,MCP,Sus cebifrons (Visayan Warty Pig),2016-01-04,12,"Jayubo, Lambunao, Iloilo"
2,3,MCP,Rusa alfredi (Visayan Spotted Deer),2016-01-04,14,"Jayubo, Lambunao, Iloilo"
3,4,MCP,Aceros waldeni (Visayan Writhed Hornbill),2016-02-01,8,"Jayubo, Lambunao, Iloilo"
4,5,MCP,Sus cebifrons (Visayan Warty Pig),2016-02-01,12,"Jayubo, Lambunao, Iloilo"
5,6,MCP,Rusa alfredi (Visayan Spotted Deer),2016-02-01,14,"Jayubo, Lambunao, Iloilo"
6,7,MCP,Aceros waldeni (Visayan Writhed Hornbill),2016-03-07,8,"Jayubo, Lambunao, Iloilo"
7,8,MCP,Sus cebifrons (Visayan Warty Pig),2016-03-07,13,"Jayubo, Lambunao, Iloilo"
8,9,MCP,Rusa alfredi (Visayan Spotted Deer),2016-03-07,14,"Jayubo, Lambunao, Iloilo"
9,10,MCP,Aceros waldeni (Visayan Writhed Hornbill),2016-04-04,8,"Jayubo, Lambunao, Iloilo"
10,11,MCP,Sus cebifrons (Visayan Warty Pig),2016-04-04,13,"Jayubo, Lambunao, Iloilo"
11,12,MCP,Rusa alfredi (Visayan Spotted Deer),2016-04-04,14,"Jayubo, Lambunao, Iloilo"
12,13,MCP,Aceros waldeni (Visayan Writhed Hornbill),2016-05-02,7,"Jayubo, Lambunao, Iloilo"
13,14,MCP,Sus cebifrons (Visayan Warty Pig),2016-05-02,13,"Jayubo, Lambunao, Iloilo"
14,15,MCP,Rusa alfredi (Visayan Spotted Deer),2016-05-02,14,"Jayubo, Lambunao, Iloilo"
15,16,MCP,Aceros waldeni (Visayan Writhed Hornbill),2016-06-06,8,"Jayubo, Lambunao, Iloilo"
16,17,MCP,Sus cebifrons (Visayan Warty Pig),2016-06-06,13,"Jayubo, Lambunao, Iloilo"
17,18,MCP,Rusa alfredi (Visayan Spotted Deer),2016-06-06,12,"Jayubo, Lambunao, Iloilo"
18,19,MCP,Aceros waldeni (Visayan Writhed Hornbill),2016-07-04,8,"Jayubo, Lambunao, Iloilo"
19,20,MCP,Sus cebifrons (Visayan Warty Pig),2016-07-04,13,"Jayubo, Lambunao, Iloilo"
20,21,MCP,Rusa alfredi (Visayan Spotted Deer),2016-07-04,12,"Jayubo, Lambunao, Iloilo"
21,22,MCP,Aceros waldeni (Visayan Writhed Hornbill),2016-08-01,8,"Jayubo, Lambunao, Iloilo"
22,23,MCP,Sus cebifrons (Visayan Warty Pig),2016-08-01,12,"Jayubo, Lambunao, Iloilo"
